675532250,306940531,490381982,549097627,820407372,641687998,678069329,501942017,106434030,537793444,697378295,502297412,414255537,966338949,857728905,584295394
725567240,386907786,707737919,17123899,834360141,234842744,740032179,476467023,761287667,936922538,422403990,721313974,167325888,945067973,528241555,626371000
427854274,730934333,634026300,244309389,738174842,269958808,3052659,669047411,894911766,47419328,362438459,478901998,125184495,775380845,13774486,363862562
645686010,532191908,34697663,906334787,358404049,408089729,220302494,251326537,675476677,688422390,495239730,327166655,384728017,558938531,31510072,587872043
650959749,481391152,96777736,516115973,583650934,500026619,572149214,786552287,33660104,537799652,695491835,217008015,388235612,624322744,402898622,809315590
546772572,693097582,389900868,151110911,626306980,950610367,274645091,740823616,598324424,153097030,340339322,535686946,306346165,314578720,799812616,960944542
610904371,991063772,957698965,140765494,979998238,769558286,439874542,313724255,939945333,122458864,812297665,638824300,551247434,808403563,405608244,451721834
259633838,909527284,266663200,127224311,992030363,135403602,811303532,98207738,631828820,395826528,543017918,763711068,854734386,562389879,133142054,812253919
138651458,476112147,715809928,255083233,32788126,488271274,235357887,539372259,440476794,429192645,672846690,849996220,278162246,396608341,16632606,996952041
681123685,947435362,826484255,583653080,423836686,599339360,306643427,798716027,788113111,466295533,69488614,899595314,125834565,956288472,391313924,307771778
625358900,408649352,1067139312,414006023,763234468,441378454,8533828,718843747,697582987,461117734,532914196,279334021,776954645,38209163,33907363,496441672
754020696,545612497,264738062,518033444,487955117,206314871,830797693,164498758,712718583,491802041,4755365,1073129059,131295127,110166103,1012245406,8669833
240986847,676066367,212965471,976784398,11698887,738591495,215363038,452801740,686641130,576331636,394760322,112203035,891328980,11531999,630836558,867390120
610597377,540480152,80571484,786206599,115886799,1066385725,128787392,361652704,839112837,394285195,460038079,991701646,244991309,372525285,707143785,652735645
963327305,208266203,557304381,206107352,778418434,407013326,121933123,571127667,934250893,604701456,492114080,491085071,475215185,309448659,198097359,870680939
572491071,631126619,206467552,39597733,797920013,106523901,711820667,193852651,952378208,730646744,341488424,124051892,601115516,681307486,919052769,391123369
345063681,762486834,181833091,599101157,616516048,83386619,386508029,593538874,378866986,646080385,774934887,158407011,973373654,17632973,996670498,405494797
562570169,659343771,705310215,625969221,312385831,809558980,151408323,35146193,1062056813,837922922,262723423,354950545,849272166,362560821,819460117,74949529
515867380,946665697,488947235,653743191,801468662,464537315,376124380,1051877518,572752712,474470509,244551979,739232874,604947811,388794897,393678199,444660305
455982635,154697448,903103826,370684391,23504016,615982653,606750544,519963996,563048338,297525468,339183533,700501139,299123518,134654833,910550653,393721077
999385631,674038430,532406713,535333101,295129130,472345798,993323470,638474893,28707663,931405023,380475607,685279399,256884555,1039343772,627197457,129904115
489714851,475515176,432370794,851136915,109764007,608655723,157259247,689264847,349570232,466497616,338980895,289240674,871843490,340815968,732017301,164288619
301472595,678052599,553139640,582893610,431009358,536727863,322939001,431067558,81092355,626998330,1001525879,220220043,272021365,783143394,759996179,319870527
